strain	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names	NCBI_refseq_accession	NCBI_taxon_identifier	organism	full_scientific_name	plasmids	genome_length	sequencing_platform	genome_status
WS74	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella ceti	131567|2|1783272|1239|91061|186826|81850|46255|759620	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella ceti	NZ_CP009223.1	759620	Weissella ceti	Weissella ceti strain WS74	missing	1389510	Ion Torrent PGM	Complete
T1|DSM 14884|JCM 11576	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Marinithermus	Marinithermus hydrothermalis	131567|2|1783272|1297|188787|68933|188786|186191|186192|869210	cellular organisms|Bacteria|Terrabacteria group|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Marinithermus|Marinithermus hydrothermalis|Marinithermus hydrothermalis DSM 14884	NC_015387.1	869210	Marinithermus hydrothermalis	Marinithermus hydrothermalis DSM 14884	0	2269167	454 GS|Illumina	Complete
KA3|DSM 14283|JCM 11233	Bacteria	Thermotogae	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga piezophila	131567|2|200918|188708|1643947|1643949|160798|149715|443254	cellular organisms|Bacteria|Thermotogae|Thermotogae|Petrotogales|Petrotogaceae|Marinitoga|Marinitoga piezophila|Marinitoga piezophila KA3	NC_016748|NC_016751	443254	Marinitoga piezophila	Marinitoga piezophila KA3	1	2244793	Illumina|454 GS	Complete
SP.17|ATCC 49840|DSM 8798	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter hydrocarbonoclasticus	131567|2|1224|1236|135622|72275|2742|2743|1163748	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter hydrocarbonoclasticus|Marinobacter hydrocarbonoclasticus ATCC 49840	NC_017067.1	1163748	Marinobacter hydrocarbonoclasticus	Marinobacter hydrocarbonoclasticus ATCC 49840	0	3989480	AB 3730 Genetic Analyzer	Complete
BSs20148	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter sp. BSs20148	131567|2|1224|1236|135622|72275|2742|490759	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Marinobacter|Marinobacter sp. BSs20148	NC_018268.1	490759	Marinobacter	Marinobacter sp. BSs20148	0	4063864	454 GS FLX|Sanger	Complete
MMB-1|ATCC 700492|JCM 21426|NBRC 103028|DSM 23531|CECT 4803|IAM 14944	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas mediterranea	131567|2|1224|1236|135619|135620|28253|119864|717774	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas mediterranea|Marinomonas mediterranea MMB-1	NC_015276.1	717774	Marinomonas mediterranea	Marinomonas mediterranea MMB-1	0	4684316	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
IVIA-Po181|CECT 7376|NCIMB 14433	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas posidonica	131567|2|1224|1236|135619|135620|28253|936476|491952	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas posidonica|Marinomonas posidonica IVIA-Po-181	NC_015559	491952	Marinomonas posidonica	Marinomonas posidonica IVIA-Po-181	0	3899940	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
MWYL1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	Marinomonas sp. MWYL1	131567|2|1224|1236|135619|135620|28253|400668	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Oceanospirillaceae|Marinomonas|Marinomonas sp. MWYL1	NC_009654.1	400668	Marinomonas	Marinomonas sp. MWYL1	0	5100344	Sanger	Complete
OT3|ATCC 700860|DSM 12428|JA-1|JCM 9974|NBRC 100139	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii	131567|2157|28890|183968|2258|2259|2260|53953|70601	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Pyrococcus|Pyrococcus horikoshii|Pyrococcus horikoshii OT3	NC_000961.1	70601	Pyrococcus horikoshii	Pyrococcus horikoshii OT3	missing	1738500	ABI Prism 377 DNA sequencer	Complete
1A|DSM 11204|JCM 17356	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii	131567|2157|1783275|28889|183924|114380|2307|54251|54252|694429	cellular organisms|Archaea|TACK group|Crenarchaeota|Thermoprotei|Desulfurococcales|Pyrodictiaceae|Pyrolobus|Pyrolobus fumarii|Pyrolobus fumarii 1A	NC_015931.1	694429	Pyrolobus fumarii	Pyrolobus fumarii 1A	missing	1843270	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
M31|DSM 13855|CECT 5946|ATCC BAA-605|CIP 107417	Bacteria	Bacteroidetes	NA	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	Salinibacter ruber	131567|2|1783270|68336|976|1100069|563843|146918|146919|309807	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Bacteroidetes Order II. Incertae sedis|Rhodothermaceae|Salinibacter|Salinibacter ruber|Salinibacter ruber DSM 13855	NC_007677.1|NC_007678.1	309807	Salinibacter ruber	Salinibacter ruber DSM 13855	1	3587328	Sanger	Complete
CNS205	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola	131567|2|1783272|201174|1760|85008|28056|168694|168697|391037	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Salinispora|Salinispora arenicola|Salinispora arenicola CNS-205	NC_009953.1	391037	Salinispora arenicola	Salinispora arenicola CNS-205	0	5786361	Sanger	Complete
SR4|DSM 12299	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter siderophilus	131567|2|1783272|1239|186801|68295|186814|1754|106578|880478	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Clostridia|Thermoanaerobacterales|Thermoanaerobacteraceae|Thermoanaerobacter|Thermoanaerobacter siderophilus|Thermoanaerobacter siderophilus SR4	NZ_CM001486.1	880478	Thermoanaerobacter siderophilus	Thermoanaerobacter siderophilus SR4	0	2540159	454|Illumina	Complete
GSS1|DSM 4299|ATCC 51530|JCM 9571|NBRC 15438	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	131567|2157|28890|183967|2301|46659|2302|50339|273116	cellular organisms|Archaea|Euryarchaeota|Thermoplasmata|Thermoplasmatales|Thermoplasmataceae|Thermoplasma|Thermoplasma volcanium|Thermoplasma volcanium GSS1	NC_002689.2	273116	Thermoplasma volcanium	Thermoplasma volcanium GSS1	0	1584800	missing	Complete
Cas60314|DSM 17291|ATCC BAA-1197	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	Thermovirga lienii	131567|2|508458|649775|649776|649777|336260|336261|580340	cellular organisms|Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Thermovirga|Thermovirga lienii|Thermovirga lienii DSM 17291	NC_016148.1|NC_016149.1	580340	Thermovirga lienii	Thermovirga lienii DSM 17291	1	1999646	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
EIB202	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Edwardsiella	Edwardsiella tarda	131567|2|1224|1236|91347|543|635|636|498217	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacteriales|Enterobacteriaceae|Edwardsiella|Edwardsiella tarda|Edwardsiella tarda EIB202	NC_013508.1|NC_013509.1	498217	Edwardsiella tarda	Edwardsiella tarda EIB202	1	3804166	454 GS FLX|AB 3730xL Genetic Analyzer	Complete
Lg2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	131567|2|1783272|1239|91061|186826|1300|1357|1363|420890	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus garvieae|Lactococcus garvieae Lg2	NC_017490.1	420890	Lactococcus garvieae	Lactococcus garvieae Lg2	0	1963964	AB 3730xL Genetic Analyzer	Complete
SB|ATCC 35089|DSM 1224|JCM 13029|OCM 148	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii	131567|2157|28890|183939|2182|2183|2184|2187|406327	cellular organisms|Archaea|Euryarchaeota|Methanococci|Methanococcales|Methanococcaceae|Methanococcus|Methanococcus vannielii|Methanococcus vannielii SB	NC_009634.1	406327	Methanococcus vannielii	Methanococcus vannielii SB	missing	1720050	Sanger	Complete
MP|DSM 11836	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus	131567|2157|28890|183968|2258|2259|2263|55802|391623	cellular organisms|Archaea|Euryarchaeota|Thermococci|Thermococcales|Thermococcaceae|Thermococcus|Thermococcus barophilus|Thermococcus barophilus MP	NC_014804.1|NC_015471.1	391623	Thermococcus barophilus	Thermococcus barophilus MP	1	2064240	missing	Complete
Lea-1-74|ATCC 33209|DSM 20767|JCM 11484|NBRC 15589|NCIMB 2235	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum	131567|2|1783272|201174|1760|85006|1268|1645|1646|288705	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Renibacterium|Renibacterium salmoninarum|Renibacterium salmoninarum ATCC 33209	NC_010168	288705	Renibacterium salmoninarum	Renibacterium salmoninarum ATCC 33209	0	3155250	Sanger	Complete
BB120|ATCC BAA-1116	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio campbellii	131567|2|1224|1236|135623|641|662|717610|680|338187	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales|Vibrionaceae|Vibrio|Vibrio harveyi group|Vibrio campbellii|Vibrio campbellii ATCC BAA-1116	NC_009783.1|NC_009784.1|NC_009777.1	338187	Vibrio campbellii	Vibrio campbellii (harveyi) ATCC BAA-1116	1	6058377	454 GS|Sanger	Complete
Slaughter Beach	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari	131567|2|1224|68525|29547|213849|72294|194|201	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter lari	NZ_CP011372.1	201	Campylobacter lari	Campylobacter lari strain Slaughter Beach	missing	1563032	454 GS|PacBio RS	Complete
SIP-G1|ATCC BAA-2640|DSM 28581	Bacteria	Proteobacteria	Gammaproteobacteria	Sedimenticola	missing	missing	Sedimenticola thiotaurini	131567|2|1224|1236|118884|349742|1543721	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|unclassified Gammaproteobacteria|Sedimenticola|Sedimenticola sp. SIP-G1	NZ_CP011412.1|NZ_CP011413.1	1543721	Sedimenticola thiotaurini	Sedimenticola sp. SIP-G1	1	3962284	PacBio RS II	Complete
PQ-2|CGMCC 1.12805|NBRC 110381	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus naphthovorans	131567|2|1224|28211|204457|335929|1295327|1348774	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Croceicoccus|Croceicoccus naphthovorans	NZ_CP011770.1|NZ_CP011771.1|NZ_CP011772.1	1348774	Croceicoccus naphthovorans	Croceicoccus naphthovorans strain PQ-2	2	3863562	PacBio RS II	Complete
SK2|ATCC 700651|DSM 11573|NCIMB 13689	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis	131567|2|1224|1236|135619|224372|59753|59754|393595	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax borkumensis|Alcanivorax borkumensis SK2	NC_008260.1	393595	Alcanivorax borkumensis	Alcanivorax borkumensis SK2	0	3120143	AB 3730 Genetic Analyzer	Complete
B5|DSM 16502|CGMCC 1.3690|MCCC 1A00001	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax dieselolei	131567|2|1224|1236|135619|224372|59753|285091|930169	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae|Alcanivorax|Alcanivorax dieselolei|Alcanivorax dieselolei B5	NC_018691.1	930169	Alcanivorax dieselolei	Alcanivorax dieselolei B5	0	4928223	454 GS|Illumina	Complete
AltDE1|DE1|DSM 26507	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	131567|2|1224|1236|135622|72275|226|314275|1004786	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas mediterranea|Alteromonas mediterranea DE1	NC_019393.1|NC_019394.1	1004786	Alteromonas macleodii	Alteromonas macleodii AltDE1	1	4947126	missing	Complete
AD45|AMBAS45|Balearic Sea AD45|DSM 26495	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	131567|2|1224|1236|135622|72275|226|28108|1004787	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas macleodii|Alteromonas macleodii str. 'Balearic Sea AD45'	NC_018679.1|NC_018680.1	1004787	Alteromonas macleodii	Alteromonas macleodii str. 'Balearic Sea AD45'	1	4674885	missing	Complete
AMBLS11|Black Sea 11|BS11|DSM 26494	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	131567|2|1224|1236|135622|72275|226|28108|1004785	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas macleodii|Alteromonas macleodii str. 'Black Sea 11'	NC_018692.1	1004785	Alteromonas macleodii	Alteromonas macleodii str. 'Black Sea 11'	0	4480507	454 GS FLX|Illumina Genome Analyzer IIx	Complete
English Channel isolate 673|AM673|DSM 26504	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas macleodii	131567|2|1224|1236|135622|72275|226|28108|1004788	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Alteromonas|Alteromonas macleodii|Alteromonas macleodii str. 'English Channel 673'	NC_018678.1	1004788	Alteromonas macleodii	Alteromonas macleodii str. 'English Channel 673'	0	4601785	454 GS FLX|Illumina Genome Analyzer IIx	Complete
Av18|DSM 5631|JCM 9629|NBRC 100127	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus	131567|2157|28890|183980|2231|2232|2233|84156|572546	cellular organisms|Archaea|Euryarchaeota|Archaeoglobi|Archaeoglobales|Archaeoglobaceae|Archaeoglobus|Archaeoglobus profundus|Archaeoglobus profundus DSM 5631	NC_013741.1|NC_013742.1	572546	Archaeoglobus profundus	Archaeoglobus profundus DSM 5631	1	1563420	454 GS FLX Titanium|Illumina	Complete
PAMC25486	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. PAMC25486	131567|2|1783272|201174|1760|85006|1268|1663|1494608	cellular organisms|Bacteria|Terrabacteria group|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Arthrobacter|Arthrobacter sp. PAMC25486	NZ_CP007595.1	1494608	Arthrobacter	Arthrobacter sp. PAMC25486	missing	4593579	454 GS FLX Titanium|Illumina HiSeq 2000	Complete
SJ|DSM 15412|ATCC BAA-682	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax marinus	131567|2|1224|68525|28221|213481|1652132|1652133|97084|862908	cellular organisms|Bacteria|Proteobacteria|delta/epsilon subdivisions|Deltaproteobacteria|Bdellovibrionales|Halobacteriovoraceae|Halobacteriovorax|Halobacteriovorax marinus|Halobacteriovorax marinus SJ	NC_016620.1|NC_019100.1	862908	Bacteriovorax marinus	Bacteriovorax marinus SJ	1	3435933	Sanger	Complete
BA134|DSM 15883|CIP 108006|LMG 21964	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Belliella	Belliella baltica	131567|2|1783270|68336|976|768503|768507|563798|232244|232259|866536	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Belliella|Belliella baltica|Belliella baltica DSM 15883	NC_018010.1	866536	Belliella baltica	Belliella baltica DSM 15883	0	4196595	454 GS|Illumina	Complete
UCYN-A	Bacteria	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Aphanothecaceae	Candidatus Atelocyanobacterium	Candidatus Atelocyanobacterium thalassa	131567|2|1783272|1117|1301283|1118|1453359|713887|1453429	cellular organisms|Bacteria|Terrabacteria group|Cyanobacteria|Oscillatoriophycideae|Chroococcales|Candidatus Atelocyanobacterium|Candidatus Atelocyanobacterium thalassa|Candidatus Atelocyanobacterium thalassa isolate ALOHA	NC_013771.1	1453429	Candidatus Atelocyanobacterium thalassa	Candidatus Atelocyanobacterium thalassa isolate ALOHA	0	1443806	454 GS FLX Titanium	Complete
SFB1	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	Candidatus Nitrosoarchaeum limnia	131567|2157|1783275|651137|31932|338190|1007082|1007084|886738	cellular organisms|Archaea|TACK group|Thaumarchaeota|Nitrosopumilales|Nitrosopumilaceae|Candidatus Nitrosoarchaeum|Candidatus Nitrosoarchaeum limnia|Candidatus Nitrosoarchaeum limnia SFB1	CM001158.1	886738	Candidatus Nitrosoarchaeum limnia	Candidatus Nitrosoarchaeum limnia SFB1	missing	1772718	454 GS FLX Titanium	Complete
HTCC1062	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique	131567|2|1224|28211|54526|1655514|198251|198252|335992	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales|Pelagibacteraceae|Candidatus Pelagibacter|Candidatus Pelagibacter ubique|Candidatus Pelagibacter ubique HTCC1062	NC_007205.1	335992	Candidatus Pelagibacter ubique	Candidatus Pelagibacter ubique HTCC1062	0	1308759	missing	Complete
Cm	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Candidatus Ruthia	Candidatus Ruthia magnifica	131567|2|1224|1236|118884|32036|1541743|386487|413404	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|unclassified Gammaproteobacteria|sulfur-oxidizing symbionts|Candidatus Ruthia|Candidatus Ruthia magnifica|Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	NC_008610.1	413404	Candidatus Ruthia magnifica	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	0	1160782	AB 3730 Genetic Analyzer	Complete
PS1	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Candidatus Thioglobus singularis	131567|2|1224|1236|118884|1427363|1427364|1125411	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|unclassified Gammaproteobacteria|Candidatus Thioglobus|Candidatus Thioglobus singularis|Candidatus Thioglobus singularis PS1	NZ_CP006911.1	1125411	Candidatus Thioglobus singularis	Candidatus Thioglobus singularis PS1	missing	1714148	Sanger|AB SOLiD System	Complete
HA	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	Calyptogena okutanii thioautotrophic gill symbiont	131567|2|1224|1236|118884|32036|410330|412965	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|unclassified Gammaproteobacteria|sulfur-oxidizing symbionts|Calyptogena okutanii thioautotrophic gill symbiont|Candidatus Vesicomyosocius okutanii HA	NC_009465.1	412965	Candidatus Vesicomyosocius okutanii	Candidatus Vesicomyosocius okutanii HA	0	1022154	AB MegaBACE 4000|AB 3100 Genetic Analyzer	Complete
17-4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium	Carnobacterium sp. 17-4	131567|2|1783272|1239|91061|186826|186828|2747|208596	cellular organisms|Bacteria|Terrabacteria group|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Carnobacterium|Carnobacterium sp. 17-4	NC_015390.1|NC_015391.1	208596	Carnobacterium	Carnobacterium sp. 17-4	1	2685399	454 GS FLX|Sanger	Complete
P73|DSM 27257|LMG 27600|MCCC 1A01112	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter indicus	131567|2|1224|28211|204455|31989|875170|1208324	cellular organisms|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|Celeribacter|Celeribacter indicus	NZ_CP004393.1|NZ_CP004395.1|NZ_CP004398.1|NZ_CP004396.1|NZ_CP004397.1|NZ_CP004394.1	1208324	Celeribacter indicus	Celeribacter indicus P73	5	4969388	Illumina|AB 3730 Genetic Analyzer	Complete
IC166|DSM 14237|ACAM 630	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga algicola	131567|2|1783270|68336|976|117743|200644|49546|104264|59600|688270	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cellulophaga|Cellulophaga algicola|Cellulophaga algicola DSM 14237	NC_014934.1	688270	Cellulophaga algicola	Cellulophaga algicola DSM 14237	0	4888353	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
LIM -21|Cy l20,DSM 7489|ATCC 23178|IAM 14306|NBRC 14961|NCIMB 1423|VKM B-1433	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	131567|2|1783270|68336|976|117743|200644|49546|104264|979|867900	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Cellulophaga|Cellulophaga lytica|Cellulophaga lytica DSM 7489	NC_015167.1	867900	Cellulophaga lytica	Cellulophaga lytica DSM 7489	0	3765936	Illumina Genome Analyzer II|454 GS FLX Titanium	Complete
BS1	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeobacteroides	131567|2|1783270|68336|1090|191410|191411|191412|274493|1091|1096|331678	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Chlorobium/Pelodictyon group|Chlorobium|Chlorobium phaeobacteroides|Chlorobium phaeobacteroides BS1	NC_010831.1	331678	Chlorobium phaeobacteroides	Chlorobium phaeobacteroides BS1	0	2736403	Sanger	Complete
1930|DSM 265	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium phaeovibrioides	131567|2|1783270|68336|1090|191410|191411|191412|274493|1091|1094|290318	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Chlorobium/Pelodictyon group|Chlorobium|Chlorobium phaeovibrioides|Chlorobium phaeovibrioides DSM 265	NC_009337.1	290318	Chlorobium phaeovibrioides	Chlorobium phaeovibrioides DSM 265	0	1966858	missing	Complete
GB-78|ATCC 35110	Bacteria	Chlorobi	Chlorobia	Chlorobiales	Chlorobiaceae	Chloroherpeton	Chloroherpeton thalassium	131567|2|1783270|68336|1090|191410|191411|191412|100715|100716|517418	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Chlorobi|Chlorobia|Chlorobiales|Chlorobiaceae|Chloroherpeton|Chloroherpeton thalassium|Chloroherpeton thalassium ATCC 35110	NC_011026.1	517418	Chloroherpeton thalassium	Chloroherpeton thalassium ATCC 35110	0	3293456	454 GS	Complete
1H11|DSM 3043|ATCC BAA-138|NCIMB 13768	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter salexigens	131567|2|1224|1236|135619|28256|42054|158080|290398	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Halomonadaceae|Chromohalobacter|Chromohalobacter salexigens|Chromohalobacter salexigens DSM 3043	NC_007963.1	290398	Chromohalobacter salexigens	Chromohalobacter salexigens DSM 3043	0	3696649	AB 3730 Genetic Analyzer	Complete
DSM 745|ATCC 25205	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	Cyclobacterium marinum	131567|2|1783270|68336|976|768503|768507|563798|68288|104|880070	cellular organisms|Bacteria|FCB group|Bacteroidetes/Chlorobi group|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Cyclobacterium|Cyclobacterium marinum|Cyclobacterium marinum DSM 745	NC_015914.1	880070	Cyclobacterium marinum	Cyclobacterium marinum DSM 745	0	6221273	454 GS FLX Titanium|Illumina	Complete
P1|MCCC 1A01040	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus	Cycloclasticus sp. P1	131567|2|1224|1236|72273|135616|34067|385025	cellular organisms|Bacteria|Proteobacteria|Gammaproteobacteria|Thiotrichales|Piscirickettsiaceae|Cycloclasticus|Cycloclasticus sp. P1	NC_018697.1	385025	Cycloclasticus	Cycloclasticus sp. P1	0	2363215	454 GS|Illumina	Complete
N2460|DSM 12809	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	Denitrovibrio acetiphilus	131567|2|200930|68337|191393|191394|117999|118000|522772	cellular organisms|Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Denitrovibrio|Denitrovibrio acetiphilus|Denitrovibrio acetiphilus DSM 12809	NC_013943.1	522772	Denitrovibrio acetiphilus	Denitrovibrio acetiphilus DSM 12809	0	3222077	AB 3730 Genetic Analyzer|454 GS FLX	Complete
