Assemblies	gsa (short)	gsa (long)	gsa(hybrid)	HipMer (short)	Flye (long)	Flye (hybrid)	Flye_strain (long)	Flye strain (hybrid)	HipMer2 (short)	SPAdes (short)	MEGAHIT (short)	OPERA-MS (hybrid)	Flye inhouse (hybrid)
RNODE_145_length_1547_cov_6.91082	99.397	98.957	99.757	10	-	-	-	-	10	10	10	10	-
RNODE_148_length_1828_cov_3.97398	36.379	59.983	83.289	10	-	-	-	-	10	10.781	10	10	-
RNODE_151_length_1644_cov_3.51048	25.691	52.978	62.238	10	-	-	-	-	10	-	-	-	-
RNODE_152_length_11535_cov_8.34205	-	10.368	10.551	-	10	10	10	10	-	-	-	-	9.974
RNODE_153_length_2931_cov_9.80406	-	-	2.348	-	-	-	-	-	-	-	-	-	-
RNODE_155_length_2531_cov_7.75129	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_157_length_9240_cov_11.70069	99.646	95.794	99.709	10	10	10	10	10	10	-	-	-	10
RNODE_15_length_2057_cov_7.49140	-	3.101	9.268	-	-	-	-	-	-	-	-	-	-
RNODE_160_length_1746_cov_3.90255	38.474	72.227	88.132	10	-	-	-	-	10	10	10	10	-
RNODE_161_length_2494_cov_2.64806	53.831	65.409	93.612	10	-	-	-	-	10	3.669	9.64	10	-
RNODE_162_length_1832_cov_1.88784	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_163_length_2924_cov_26.52619	-	-	1.916	-	-	-	-	-	-	-	-	-	-
RNODE_164_length_3484_cov_4.58781	98.042	94.105	98.475	10	10	10	10	10	10	10	10	10	10
RNODE_165_length_1669_cov_2.37887	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_167_length_15660_cov_7.41802	99.727	97.164	99.727	10	9.978	9.978	9.978	9.978	10	10	9.999	10	9.978
RNODE_168_length_1728_cov_6.59379	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_169_length_2014_cov_4.86797	8.298	21.099	40.873	5.487	-	-	-	-	5.547	-	-	-	-
RNODE_16_length_2729_cov_73.58182	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_170_length_2572_cov_18.40510	-	-	2.196	-	-	-	-	-	-	-	-	-	-
RNODE_172_length_2223_cov_6.95729	-	-	6.043	-	-	-	-	-	-	-	-	-	-
RNODE_174_length_2429_cov_2.88035	98.55	94.146	99.04	10	-	-	-	-	10	10	10	10	-
RNODE_175_length_2761_cov_19.02118	33.158	54.297	68.824	10	-	-	-	-	9.894	-	-	-	-
RNODE_176_length_1549_cov_36.55206	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_177_length_3051_cov_8.18455	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_178_length_3618_cov_3.32119	98.006	89.716	98.204	10	10	10	10	10	10	10	10	10	10
RNODE_179_length_3165_cov_11.18263	99.332	98.858	99.631	10	-	-	-	-	10	-	2.571	2.205	-
RNODE_181_length_5163_cov_13.91578	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_182_length_2608_cov_41.99343	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_183_length_2196_cov_14.40984	-	33.763	46.872	7.461	-	-	-	-	7.479	-	-	-	-
RNODE_184_length_2456_cov_5.89523	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_185_length_1556_cov_2.93481	80.293	46.741	93.801	10	-	-	-	-	10	10	10	10	-
RNODE_186_length_2504_cov_28.93916	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_187_length_2669_cov_7.35323	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_188_length_3578_cov_152.10292	99.685	99.657	99.859	10	10	10	10	10	10	10	10	9.916	1.597
RNODE_189_length_1548_cov_4.91153	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_190_length_2372_cov_3.90340	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_191_length_4523_cov_9.06065	4.541	18.216	24.572	-	10	10	10	10	1.731	-	-	-	10
RNODE_192_length_7636_cov_18.62687	-	-	-	-	9.992	9.992	9.992	9.992	-	-	-	-	9.992
RNODE_194_length_1274_cov_1.74441	-	25.264	30.759	-	-	-	-	-	-	-	-	-	-
RNODE_195_length_1761_cov_3.04140	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_196_length_1935_cov_38.48772	99.854	99.535	99.89	10	-	-	-	-	10	10	10	2.666	-
RNODE_197_length_5069_cov_3.76758	-	17.337	18.245	-	10	10	10	10	-	-	-	-	10
RNODE_198_length_2135_cov_8.85376	99.659	98.694	99.834	10	-	-	-	-	10	10	10	-	-
RNODE_199_length_3758_cov_10.79550	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_19_length_30312_cov_10.20690	-	10.259	10.257	-	9.943	9.943	9.943	9.943	-	-	-	-	9.943
RNODE_1_length_6898_cov_7.60442	-	8.32	11.131	-	10	10	10	10	-	-	-	-	10
RNODE_201_length_2438_cov_4.66846	-	-	2.19	-	-	-	-	-	-	-	-	-	-
RNODE_202_length_2300_cov_3.80773	2.199	21.975	26.984	-	-	-	-	-	-	-	-	-	-
RNODE_203_length_1708_cov_4.32029	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_204_length_1584_cov_1.63444	-	5.122	5.122	-	-	-	-	-	-	-	-	-	-
RNODE_206_length_1596_cov_53.17090	96.429	73.672	97.02	10	-	-	-	-	10	7.02	8.31	6.842	-
RNODE_208_length_1614_cov_5.26633	98.8	99.485	99.642	10	-	-	-	-	10	-	-	-	-
RNODE_209_length_3433_cov_79.37027	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_20_length_3323_cov_4.22024	-	1.557	1.557	-	-	-	-	-	-	-	-	-	-
RNODE_210_length_2651_cov_13.95131	4.279	20.232	30.734	2.872	-	-	-	-	3.123	5.938	8.045	5.846	-
RNODE_211_length_1756_cov_5.39677	-	3.304	3.304	-	-	-	-	-	-	-	-	-	-
RNODE_212_length_4097_cov_3.86528	-	-	1.431	-	-	-	-	-	-	-	-	-	10
RNODE_213_length_2939_cov_7.79705	-	18.629	22.019	-	-	-	-	-	3.106	-	-	-	-
RNODE_214_length_1765_cov_3.24842	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_215_length_3095_cov_6.61373	-	-	2.079	-	-	-	-	-	-	-	-	-	-
RNODE_216_length_15421_cov_6.49724	70.651	93.19	99.076	10	10	10	10	10	9.998	10	10	9.987	10
RNODE_217_length_2598_cov_4.83502	99.981	99.93	99.992	10	-	-	-	-	10	10	10	-	-
RNODE_219_length_1344_cov_3.84720	-	15.93	16.959	-	-	-	-	-	-	-	-	-	-
RNODE_21_length_1619_cov_4.64433	42.436	71.616	86.118	10	-	-	-	-	10	10	10	10	-
RNODE_221_length_2696_cov_7.95138	21.918	41.103	49.346	8.082	-	-	-	-	9.731	4.439	7.723	7.801	-
RNODE_222_length_1915_cov_3.09562	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_223_length_2107_cov_5.74724	60.787	64.863	78.724	10	-	-	-	-	10	10	10	10	-
RNODE_226_length_3315_cov_75.69511	99.809	99.751	99.894	10	3.596	3.596	3.596	3.596	10	10	10	10	1.591
RNODE_22_length_7302_cov_3.23613	0.712	10.602	10.569	-	9.997	9.997	9.997	9.997	-	-	-	-	9.997
RNODE_230_length_2858_cov_5.31312	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_231_length_5311_cov_4.30176	-	22.984	24.872	-	10	10	10	10	1.148	-	-	-	10
RNODE_232_length_21840_cov_9.43432	0.589	10.041	10.697	-	10	10	10	10	0.26	-	-	-	10
RNODE_233_length_1740_cov_3.83120	98.638	98.405	99.529	10	-	-	-	-	10	-	-	-	-
RNODE_236_length_2297_cov_5.75912	55.877	56.18	94.176	10	-	-	-	-	10	4.796	10	8.136	-
RNODE_237_length_4009_cov_52.34788	46.288	53.735	70.507	10	10	10	10	10	10	2.842	5.987	7.086	10
RNODE_238_length_3219_cov_2.87332	3.322	25.048	31.423	-	-	-	-	-	3.1	2.646	6.725	5.83	-
RNODE_239_length_2392_cov_75.72363	-	-	2.232	-	-	-	-	-	-	-	1.266	-	-
RNODE_23_length_1998_cov_572.28391	94.884	81.554	96.938	10	-	-	-	-	10	10	10	10	-
RNODE_240_length_12811_cov_7.14481	0.4	12.443	14.552	-	9.994	9.994	9.994	9.994	-	-	-	-	9.999
RNODE_241_length_10461_cov_3.82000	9.938	38.259	36.812	4.842	10	10	10	10	6.86	-	-	-	10
RNODE_242_length_3657_cov_7.66465	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_244_length_5333_cov_28.75937	25.276	44.941	54.956	9.893	10	10	10	10	9.753	-	-	-	10
RNODE_245_length_4357_cov_37.67935	2.844	20.646	20.441	-	10	10	10	10	-	-	-	-	10
RNODE_246_length_2482_cov_3.42358	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_247_length_8256_cov_14.85123	99.944	99.283	99.944	10	7.055	7.055	6.343	6.343	10	10	10	0.68	5.692
RNODE_249_length_1595_cov_4.08837	-	39.148	50.337	4.908	-	-	-	-	4.024	7.743	6.929	7.781	-
RNODE_250_length_5534_cov_8.34289	0.931	-	0.931	-	10	10	10	10	-	-	-	-	10
RNODE_252_length_2412_cov_8.03222	-	-	4.879	-	-	-	-	-	-	-	-	-	-
RNODE_253_length_4934_cov_14.39047	60.356	61.519	95.894	10	10	10	10	10	10	10.487	10	10	10
RNODE_255_length_1540_cov_6.64690	-	-	11.166	-	-	-	-	-	-	-	-	-	-
RNODE_256_length_3265_cov_29.43355	-	19.948	24.274	-	-	-	-	-	-	-	-	-	-
RNODE_257_length_1602_cov_16.93671	81.424	92.222	95.772	10	-	-	-	-	10	10	10.247	10	-
RNODE_260_length_1690_cov_3.39508	99.646	96.781	99.766	10	-	-	-	-	10	10	10	-	-
RNODE_261_length_5536_cov_4.10881	-	11.955	15.789	-	10	10	10	10	0.943	-	-	-	10
RNODE_262_length_4000_cov_14.35495	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_264_length_2217_cov_3.64237	99.827	99.499	99.913	10	-	-	-	-	10	10	10	10	-
RNODE_267_length_1450_cov_3.70798	3.606	-	24.951	5.987	-	-	-	-	6.085	-	-	-	-
RNODE_268_length_9216_cov_4.69600	-	8.923	9.683	-	10	10	10	10	-	-	-	-	9.988
RNODE_269_length_3926_cov_5.29021	1.324	25.064	26.37	-	10	10	10	10	-	-	-	-	10
RNODE_26_length_2149_cov_3.97038	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_270_length_5234_cov_7.75671	-	-	-	-	9.958	9.958	9.958	9.958	-	-	-	-	9.958
RNODE_271_length_3998_cov_11.67404	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_272_length_2015_cov_5.10035	-	-	6.402	-	-	-	-	-	-	-	-	-	-
RNODE_273_length_1300_cov_2.30673	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_274_length_1504_cov_11.90756	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_275_length_3412_cov_8.48584	98.758	98.885	99.537	10	10	10	10	10	10	10	9.87	10	10
RNODE_276_length_1745_cov_5.73070	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_278_length_7999_cov_5.67456	0.763	18.008	13.612	-	10	10	10	10	-	-	-	-	10
RNODE_27_length_9272_cov_4.89762	0.594	12.105	15.55	-	10	10	10	10	-	-	-	-	10
RNODE_280_length_5088_cov_4.43328	13.912	39.702	46.917	5.184	10	10	10	10	5.857	-	-	-	10
RNODE_281_length_3634_cov_4.76523	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_282_length_2526_cov_38.05351	29.736	46.022	58.63	10	-	-	-	-	9.189	-	-	-	-
RNODE_284_length_8760_cov_7.25395	52.49	76.063	87.314	10	10	10	10	10	10	7.945	9.546	8.517	10
RNODE_285_length_1358_cov_4.40719	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_286_length_1588_cov_4.62324	99.764	96.686	99.834	10	-	-	-	-	10	10	10	8.231	-
RNODE_287_length_2601_cov_28.03218	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_288_length_3164_cov_59.95449	-	-	1.929	-	-	-	-	-	-	-	-	-	-
RNODE_289_length_4454_cov_4.54626	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_28_length_2156_cov_6.27835	99.859	99.864	99.948	10	-	-	-	-	10	10	9.794	9.316	-
RNODE_292_length_1675_cov_7.61464	98.475	76.213	99.383	10	-	-	-	-	10	10	10	9.462	-
RNODE_293_length_11038_cov_5.01480	4.209	31.102	36.727	2.71	10	10	10	10	3.668	-	1.15	3.378	10
RNODE_295_length_10931_cov_11.99890	87.684	84.357	99.224	10	10	10	10	10	10	10	10	10	10
RNODE_296_length_1799_cov_6.54699	99.623	97.985	99.814	10	-	-	-	-	10	10	10	-	-
RNODE_297_length_1810_cov_21.16499	96.89	72.22	96.935	10	-	-	-	-	10	10	10	10	-
RNODE_298_length_4113_cov_5.23857	-	-	-	-	10	10	10	10	-	-	-	-	-
RNODE_299_length_1525_cov_5.32402	95.902	93.985	98.57	10	-	-	-	-	10	10	10	10	-
RNODE_29_length_2138_cov_51.39745	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_2_length_1508_cov_3.94751	-	4.24	4.24	-	-	-	-	-	-	-	-	-	-
RNODE_300_length_4019_cov_4.97498	60.16	68.584	85.599	10	10	10	10	10	10.49	-	-	-	10
RNODE_301_length_8746_cov_4.36474	48.743	52.745	52.406	10	10	10	10	10	10	-	-	-	10
RNODE_302_length_1793_cov_4.21739	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_303_length_2852_cov_2.02615	1.894	17.629	19.371	-	-	-	-	-	-	-	-	-	-
RNODE_304_length_2403_cov_7.18396	34.981	37.362	45.863	10	-	-	-	-	10.16	10	10	9.958	-
RNODE_305_length_1545_cov_4.08273	85.568	53.29	95.791	10	-	-	-	-	10	8.03	10	10	-
RNODE_306_length_4235_cov_12.16734	56.036	67.778	79.744	10	10	10	10	10	10	10	10	10	10
RNODE_30_length_2201_cov_7.76228	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_310_length_7241_cov_7.51586	30.547	47.935	48.663	10	9.913	9.913	9.913	9.913	9.967	-	-	-	9.913
RNODE_312_length_1648_cov_2.63653	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_313_length_7631_cov_9.92207	0.735	14.81	13.242	-	9.972	9.972	9.972	9.972	-	-	-	-	9.972
RNODE_316_length_1479_cov_156.07138	-	32.025	42.814	-	-	-	-	-	-	1.084	4.276	4.152	-
RNODE_317_length_2062_cov_4.66471	99.985	99.887	99.985	10	-	-	-	-	10	10	10	-	-
RNODE_319_length_1321_cov_2.32409	-	5.92	7.929	-	-	-	-	-	-	-	-	-	-
RNODE_321_length_5296_cov_10.18297	0.992	20.465	19.729	-	9.972	9.972	9.972	9.972	-	-	-	-	9.977
RNODE_325_length_1939_cov_27.67762	100	99.932	100	10	-	-	-	-	10	10	10	-	-
RNODE_326_length_1765_cov_55.82043	-	-	2.932	-	-	-	-	-	-	-	-	-	-
RNODE_327_length_1948_cov_35.31308	28.754	52.15	54.922	10	-	-	-	-	10	-	-	-	-
RNODE_328_length_1676_cov_7.54655	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_329_length_4403_cov_3.14905	98.692	97.77	99.183	10	10	10	10	10	10	10	10	10	10
RNODE_330_length_1588_cov_2.46424	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_331_length_2739_cov_8.16194	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_332_length_1624_cov_3.94382	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_333_length_29512_cov_5.09183	23.38	46.725	53.084	9.537	10	10	10	10	9.726	1.049	2.315	7.94	10
RNODE_334_length_1555_cov_5.92107	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_335_length_1478_cov_2.76786	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_340_length_1678_cov_17.80556	20.266	45.749	62.886	9.408	-	-	-	-	10	4.402	4.046	4.046	-
RNODE_344_length_2191_cov_2.64592	96.962	98.428	99.304	10	-	-	-	-	10	10	10	10	-
RNODE_345_length_2889_cov_34.12033	8.873	48.702	55.358	8.033	-	-	-	-	8.284	-	-	-	-
RNODE_347_length_5424_cov_5.89171	99.948	99.878	99.972	10	33.656	33.656	30.737	30.737	10	10	10	-	10.683
RNODE_348_length_2291_cov_3.76025	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_349_length_1558_cov_4.95117	21.797	35.052	61.615	9.993	-	-	-	-	10	8.014	9.01	7.331	-
RNODE_34_length_5214_cov_5.85112	99.48	98.557	99.544	10	10	10	10	10	10	10	10	10	1.013
RNODE_351_length_2392_cov_6.50928	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_352_length_10296_cov_22.51324	99.743	96.774	99.745	10	10	10	10	10	10	10	10	10	10
RNODE_353_length_1966_cov_4.24691	97.233	82.32	98.112	10	-	-	-	-	10	10	10	10	-
RNODE_354_length_3591_cov_3.85010	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_356_length_2244_cov_4.44644	23.434	41.863	47.07	9.788	-	-	-	-	10	-	-	-	-
RNODE_357_length_1732_cov_5.71053	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_358_length_1590_cov_1.68367	53.954	66.403	80.045	10	-	-	-	-	10	12.219	10	10	-
RNODE_35_length_2870_cov_3.96032	7.539	38.887	55.604	4.677	-	-	-	-	8.522	-	-	-	-
RNODE_363_length_5653_cov_18.32623	2.795	26.553	36.702	1.392	10	10	10	10	2.397	-	4.811	2.012	10
RNODE_365_length_1432_cov_3.86525	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_369_length_4633_cov_7.61375	99.935	99.833	99.959	10	35.955	35.955	30.534	30.534	10	10	10	-	8.449
RNODE_370_length_1832_cov_7.75801	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_371_length_3091_cov_4.47833	95.666	90.456	97.501	10	-	-	-	-	10	10	10	10	-
RNODE_373_length_1497_cov_5.24000	99.492	98.651	99.736	10	-	-	-	-	10	10	10	10	-
RNODE_375_length_2518_cov_4.10497	100	99.956	100	10	-	-	-	-	10	10	10	-	-
RNODE_376_length_2653_cov_7.05093	-	19.829	29.027	-	-	-	-	-	2.277	-	-	-	-
RNODE_377_length_2313_cov_34.45308	47.726	85.884	94.705	10	-	-	-	-	10	8.664	8.843	7.573	-
RNODE_378_length_1492_cov_8.56599	60.408	48	68.184	10	-	-	-	-	10	-	-	-	-
RNODE_379_length_1435_cov_1.62350	83.121	73.39	95.372	10	-	-	-	-	10	10	10	10	-
RNODE_37_length_1566_cov_13.53497	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_380_length_3873_cov_34.07037	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_382_length_1274_cov_6.08626	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_384_length_4213_cov_12.53305	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_385_length_2039_cov_10.22707	-	-	-	-	-	-	-	-	-	-	2.553	-	-
RNODE_387_length_2321_cov_4.37973	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_388_length_2936_cov_27.70796	-	-	3.548	-	-	-	-	-	-	-	-	-	-
RNODE_389_length_1545_cov_18.59160	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_391_length_2002_cov_3.45556	-	9.338	6.712	-	-	-	-	-	-	-	-	-	-
RNODE_395_length_1428_cov_3.92319	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_397_length_1629_cov_18.92533	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_398_length_3296_cov_5.67929	-	-	8.9	-	-	-	-	-	-	-	-	-	-
RNODE_399_length_2276_cov_6.18101	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_39_length_2309_cov_8.39790	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_3_length_2132_cov_9.73460	-	15.36	19.583	-	-	-	-	-	-	-	3.009	2.204	-
RNODE_401_length_5038_cov_52.89115	-	-	-	-	10	10	10	10	-	-	-	-	10
RNODE_402_length_1846_cov_2.27906	6.042	41.782	47.988	9.578	-	-	-	-	10	8.761	10	10	-
RNODE_403_length_4059_cov_880.62621	1.392	12.314	16.634	-	-	-	-	-	-	1.667	2.519	4.763	-
RNODE_405_length_1632_cov_8.96149	42.59	42.839	72.118	9.95	-	-	-	-	10	10.932	10.093	8.068	-
RNODE_406_length_2395_cov_90.64012	95.529	83	97.83	10	-	-	-	-	10	10.784	10	10	-
RNODE_409_length_1368_cov_5.05646	60.609	49.569	91.181	10	-	-	-	-	10	-	-	-	-
RNODE_410_length_2558_cov_5.74172	60.351	63.19	94.823	10	-	-	-	-	10	-	4.949	4.949	-
RNODE_412_length_3243_cov_51.13691	99.795	99.78	99.907	10	-	-	-	-	10	10	10	5.054	-
RNODE_413_length_3069_cov_3.80768	98.467	88.444	99.294	10	-	-	-	-	10	10	10	10.325	-
RNODE_414_length_1523_cov_18.59893	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_416_length_1581_cov_3.82938	100	99.904	100	10	-	-	-	-	10	10	10	-	-
RNODE_419_length_1879_cov_8.64082	99.488	98.993	99.763	10	-	-	-	-	10	10	10	-	-
RNODE_41_length_1982_cov_209.61480	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_421_length_4705_cov_4.03310	-	-	4.382	-	10	10	10	10	-	-	-	-	10
RNODE_422_length_2556_cov_6.56672	48.296	50.967	79.526	10	-	-	-	-	10	10	10	10	-
RNODE_424_length_1604_cov_9.07185	-	12.724	12.724	-	-	-	-	-	-	-	-	-	-
RNODE_425_length_1554_cov_17.16795	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_426_length_2252_cov_11.50083	10.272	9.13	30.861	-	-	-	-	-	2.79	1.313	7.79	7.111	-
RNODE_427_length_9830_cov_4.30470	17.454	37.23	51.304	9.568	10	10	10	10	9.632	0.726	0.57	0.531	10
RNODE_42_length_6009_cov_12.62369	-	27.145	26.576	-	10	10	10	10	2.41	-	-	-	10
RNODE_430_length_8758_cov_13.30595	54.032	60.604	93.648	10	10	10	10	10	10	7.112	9.801	9.556	10
RNODE_433_length_2054_cov_26.46352	99.284	98.443	99.637	10	-	-	-	-	10	10	10	10	-
RNODE_437_length_3085_cov_98.66641	37.428	48.671	68.208	10	-	-	-	-	10	-	-	-	-
RNODE_438_length_14517_cov_4.70775	-	4.238	4.306	-	9.999	9.999	9.999	9.999	-	-	-	-	9.999
RNODE_43_length_1562_cov_5.51818	3.818	12.701	34.091	9.578	-	-	-	-	9.591	-	-	-	-
RNODE_441_length_2686_cov_18.21714	-	4.138	11.112	-	-	-	-	-	2.383	-	-	-	-
RNODE_445_length_2035_cov_5.02735	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_446_length_1542_cov_16.88168	64.045	90.156	95.549	10	-	-	-	-	10	9.011	9.885	10	-
RNODE_447_length_1716_cov_15.11213	3.343	6.28	18.164	-	-	-	-	-	7.315	-	-	-	-
RNODE_448_length_1719_cov_7.88578	-	6.854	6.854	-	-	-	-	-	-	-	-	-	-
RNODE_449_length_3981_cov_10.04107	1.367	12.674	14.21	-	-	-	-	-	-	-	-	-	-
RNODE_44_length_6101_cov_2.97384	0.829	12.226	18.184	1.166	9.951	9.951	9.951	9.951	1.708	-	-	-	9.99
RNODE_450_length_11970_cov_105.70786	1.215	13.433	15.587	-	10	10	10	10	-	-	-	-	17.635
RNODE_452_length_1435_cov_89.39445	97.845	96.245	99.08	10	-	-	-	-	10	3.667	-	-	-
RNODE_453_length_1486_cov_93.02213	-	3.634	13.232	-	-	-	-	-	-	3.81	6.951	6.268	-
RNODE_454_length_3059_cov_7.56632	-	13.201	13.746	-	-	-	-	-	-	-	-	-	-
RNODE_457_length_1464_cov_36.37055	-	13.901	17.887	-	-	-	-	-	-	-	-	-	-
RNODE_458_length_1682_cov_17.95957	32.952	84.27	86.671	10	-	-	-	-	10	10	10	10	-
RNODE_45_length_2213_cov_3.74441	99.156	96.787	99.562	10	-	-	-	-	10	10	10	10	-
RNODE_460_length_2629_cov_18.40010	14.155	54.325	50.472	7.447	-	-	-	-	9.362	-	-	-	-
RNODE_461_length_26656_cov_11.43708	57.576	65.891	97.986	10	9.953	9.953	9.953	9.953	10	9.986	10	9.993	9.953
RNODE_463_length_2242_cov_48.39465	3.617	2.321	15.483	-	-	-	-	-	-	-	-	-	-
RNODE_465_length_2281_cov_5.29996	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_466_length_2414_cov_22.47806	-	24.834	21.861	-	-	-	-	-	-	-	-	-	-
RNODE_467_length_4285_cov_163.04211	4.074	28.654	37.851	2.302	10	10	10	10	2.898	1.219	2.065	0.22	10
RNODE_469_length_3055_cov_6.28858	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_46_length_1611_cov_3.70422	16.262	41.385	65.419	6.696	-	-	-	-	9.641	10	10	10	-
RNODE_471_length_2314_cov_27.32580	98.794	99.382	99.72	10	-	-	-	-	10	1.335	6.926	6.41	-
RNODE_472_length_3177_cov_4.87929	-	-	1.774	-	-	-	-	-	-	-	-	-	-
RNODE_473_length_2154_cov_104.90849	38.388	48.277	74.714	10	-	-	-	-	10	6.878	9.787	8.403	-
RNODE_475_length_9205_cov_9.11194	-	12.393	14.137	-	10	10	10	10	-	-	-	-	10
RNODE_477_length_5419_cov_20.61131	99.849	99.574	99.922	10	1.933	1.933	1.933	1.933	10	10	9.879	9.251	1.418
RNODE_478_length_1307_cov_169.80266	69.343	51.805	83.08	10	-	-	-	-	10	6.421	9.976	7.91	-
RNODE_47_length_2124_cov_4.45100	6.798	34.929	32.831	7.964	-	-	-	-	3.958	9.729	5.49	9.734	-
RNODE_480_length_1461_cov_9.87912	93.536	81.03	96.57	10	-	-	-	-	10	10	10	9.993	-
RNODE_482_length_12608_cov_5.40546	99.738	96.48	99.742	10	10	10	10	10	10	10	10	9.776	10
RNODE_483_length_2623_cov_9.08778	99.664	99.671	99.844	10	-	-	-	-	10	-	-	-	-
RNODE_484_length_2351_cov_3.78450	-	2.202	2.202	-	-	-	-	-	-	-	-	-	-
RNODE_486_length_2116_cov_5.68150	99.241	96.213	99.714	10	-	-	-	-	10	10	10	9.507	-
RNODE_488_length_20029_cov_34.82594	99.966	99.455	99.977	10	14.601	14.601	14.779	14.779	10	10	10	1.407	88.921
RNODE_489_length_2151_cov_58.40979	2.435	-	2.724	-	-	-	-	-	-	-	-	-	-
RNODE_490_length_2089_cov_29.26998	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_492_length_1548_cov_6.84136	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_494_length_2579_cov_7.85352	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_495_length_2750_cov_9.86766	31.837	48.773	57.823	9.745	-	-	-	-	9.146	-	-	-	-
RNODE_499_length_5376_cov_7.50141	99.749	98.728	99.854	10	10	10	10	10	10	10	10	10	1.945
RNODE_49_length_2149_cov_5.34556	99.784	98.796	99.845	10	-	-	-	-	10	10	10	10	-
RNODE_4_length_1367_cov_2.97100	-	23.896	23.784	-	-	-	-	-	-	-	-	-	-
RNODE_500_length_1680_cov_27.45896	56.229	77.757	83.918	10	-	-	-	-	10	-	-	-	-
RNODE_501_length_1656_cov_38.89942	-	3.257	3.257	-	-	-	-	-	-	-	-	-	-
RNODE_502_length_2205_cov_11.49694	-	-	-	-	-	-	-	-	-	-	-	-	-
RNODE_503_length_17293_cov_6.40561	1.923	23.485	25.79	-	10	10	10	10	1.006	-	-	-	10
